,District,Confirmed,Recoverd,Death,Active
0,EKM,29029,16934,95,11992
1,TVM,45687,33932,314,11404
2,KKD,31400,20537,90,10767
3,TSR,22764,13728,63,8969
4,MPM,35123,26092,100,8924
5,KLM,22456,14986,81,7385
6,PKD,18014,11449,40,6524
7,KNR,17360,10875,69,6413
8,ALP,21332,15042,62,6220
9,KTM,15651,10089,31,5531
10,KGD,15000,10738,63,4195
11,PTA,11163,7826,6,3330
12,IDK,5137,3554,6,1575
13,WYD,5016,3852,5,1159
